SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO
25K/01H,HERDADE DAS ALDEIAS,79,38.093,-7.672,240419.622,125231.31,GUADIANA,RIBEIRA DE ODEARCA,380.85,-,BEJA,VIDIGUEIRA,PEDRÓGÃO,-,CCDR-ALENTEJO,-,ESCALA,01-10-1955,01-11-1963,-,-,NÃO,EXTINTA,
22G/02H,HERDADE DE PANCAS,51,38.532,-8.458,171697.418,173872.156,SADO,RIBEIRA DE SÃO MARTINHO,59.03,96.7,ÉVORA,MONTEMOR-O-NOVO,CABRELA,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,02-04-1981,30-09-1990,-,-,NÃO,EXTINTA,
24G/01H,HERDADE DO PORTANCHO,5,38.259,-8.379,178506.058,143552.408,SADO,RIO SADO,4651.09,-2.57,SETÚBAL,ALCÁCER DO SAL,TORRÃO,-,CCDR-ALENTEJO,-,ESCALA,01-10-1970,30-09-1980,-,-,NÃO,EXTINTA,
03L/03AE,HIDROELÉCTRICA DA PENEDA,-,41.68682,-7.553487,248159,524501,DOURO,RIO TÂMEGA,1089.63,-,VILA REAL,CHAVES,VILELA DO TÂMEGA,-,-,-,Hidroeléctrica,01-01-2008,-,-,-,NÃO,ATIVA,
03O/01AE,HIDROELÉCTRICA DA TORGA,294,41.705,-7.118,284512.242,526668.083,DOURO,RIO TUELA,672.67,-,BRAGANÇA,MACEDO DE CAVALEIROS,LAMALONGA,-,-,-,Hidroeléctrica,01-01-1996,-,-,-,NÃO,ATIVA,
08J/01AE,HIDROELÉCTRICA DE ERMIDA,342,40.92,-7.965,214187.458,438989.417,DOURO,RIO PAIVA,386.94,-,VISEU,CASTRO DAIRE,ERMIDA,-,-,-,Hidroeléctrica,01-12-1994,-,-,-,NÃO,ATIVA,
10K/02AE,HIDROELÉCTRICA DE FAGILDE,305,40.638,-7.784,229529.917,407709.749,MONDEGO,RIO DÃO,424.35,-,VISEU,VISEU,POVOLIDE,-,-,-,Hidroeléctrica,01-10-1999,-,-,-,NÃO,ATIVA,
03P/01AE,HIDROELÉCTRICA DE NUNES,545,41.826,-6.953,298082,540325,DOURO,RIO TUELA,404.95,-,BRAGANÇA,BRAGANÇA,CASTRELOS,-,-,-,Hidroeléctrica,01-01-1996,-,-,-,NÃO,ATIVA,
07J/02AE,HIDROELÉCTRICA DE OVADAS,747,41.047,-7.967,213945.771,453151.812,DOURO,RIO CABRUM,27.06,-,VISEU,RESENDE,OVADAS,-,-,-,Hidroeléctrica,01-01-1996,-,-,-,NÃO,ATIVA,
09H/02AE,HIDROELÉCTRICA DE PAREDES,249,40.764,-8.171,196833.844,421626.625,VOUGA/RIBEIRAS COSTEIRAS,RIO VAROSO,58.13,-,VISEU,SÃO PEDRO DO SUL,SÃO CRISTOVÃO DE LAFÕES,-,-,-,Hidroeléctrica,01-07-2001,-,-,-,NÃO,ATIVA,
12H/02AE,HIDROELÉCTRICA DE PENACOVA,60,40.3,-8.248,190269.25,370117.437,MONDEGO,RIO MONDEGO,3322.14,-,COIMBRA,PENACOVA,OLIVEIRA DO MONDEGO,-,-,-,Hidroeléctrica,01-01-2002,-,-,-,NÃO,ATIVA,
08J/03AE,HIDROELÉCTRICA DE PEREIRA,590,40.94,-7.961,214506,441199,DOURO,RIBEIRA DA CARVALHOSA OU DA PEREIRA,10.92,-,VISEU,CASTRO DAIRE,PICÃO,-,-,-,Hidroeléctrica,01-06-2006,-,-,-,NÃO,ATIVA,
05G/01AE,HIDROELÉCTRICA DE RUÃES,22,41.585,-8.48,171071,512941,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,1222.77,-,BRAGA,VILA VERDE,CABANELAS,-,-,-,Hidroeléctrica,01-10-2003,-,-,-,NÃO,ATIVA,
08J/02AE,HIDROELÉCTRICA DE SÃO PEDRO DO SUL,282,40.765,-8.003,210987.667,421792.125,VOUGA/RIBEIRAS COSTEIRAS,RIO VOUGA,397.25,-,VISEU,VISEU,RIBAFEITA,-,-,-,Hidroeléctrica,01-12-1994,-,-,-,NÃO,ATIVA,
07H/02AE,HIDROELÉCTRICA DE VILA VIÇOSA,222,41.003,-8.193,194955,448192,DOURO,RIO PAIVA,47.6,-,VISEU,CINFÃES,NESPEREIRA,-,-,-,Hidroeléctrica,01-12-1994,-,-,-,NÃO,ATIVA,
09I/01AE,HIDROELÉCTRICA DE ÁGUAS FRIAS,332,40.811,-8.037,208104.817,426911.887,VOUGA/RIBEIRAS COSTEIRAS,RIO SUL OU TORTO OU RIBEIRA DE ALVANDEIRA,35.7,-,VISEU,SÃO PEDRO DO SUL,VILAR MAIOR,-,-,-,Hidroeléctrica,01-10-2002,-,-,-,NÃO,ATIVA,
04K/03AE,HIDROELÉCTRICA DO CANEDO,-,41.569515,-7.812823,226828,511118,DOURO,RIO BEÇA,.03,-,VILA REAL,BOTICAS,-,-,-,-,Hidroeléctrica,01-01-2009,-,-,-,NÃO,ATIVA,
09H/01AE,HIDROELÉCTRICA DO CARREGAL,462,40.817,-8.227,192115.312,427548.719,VOUGA/RIBEIRAS COSTEIRAS,RIO TEIXEIRA,22.94,-,VISEU,SÃO PEDRO DO SUL,MANHOUCE,-,-,-,Hidroeléctrica,01-07-2001,-,-,-,NÃO,ATIVA,
09G/01AE,HIDROELÉCTRICA DO PALHAL,127,40.763,-8.454,172910.375,421646.937,VOUGA/RIBEIRAS COSTEIRAS,RIO CAIMA,133.37,-,AVEIRO,ALBERGARIA-A-VELHA,BRANCA,-,-,-,Hidroeléctrica,01-01-1996,-,-,-,NÃO,ATIVA,
06K/01AE,HIDROELÉCTRICA DO SORDO,683,41.285,-7.828,225557,479556.717,DOURO,RIO SORDO,38.55,-,VILA REAL,VILA REAL,TORGUEDA,-,-,-,Hidroeléctrica,01-01-1996,-,-,-,NÃO,ATIVA,
10H/03AE,HIDROELÉCTRICA DO TEIXO,-,40.576,-8.281,187400.57,401018.62,VOUGA/RIBEIRAS COSTEIRAS,RIBEIRA DAS DORNAS,-,-,VISEU,TONDELA,SÃO JOÃO DO MONTE,-,-,-,Hidroeléctrica,01-01-2010,-,-,-,NÃO,ATIVA,
06K/02AE,HIDROELÉCTRICA DO TERRAGIDO,309,41.286,-7.752,231955.402,479708.163,DOURO,RIO CORGO,231.73,-,VILA REAL,VILA REAL,PARADA DE CUNHOS,-,-,-,Hidroeléctrica,01-01-1996,-,-,-,NÃO,ATIVA,
21I/01H,HORTA VELHA,263,38.727,-8.008,210905.27,195554.435,TEJO,RIBEIRA DE ARRAIOLOS,9.27,-,ÉVORA,ARRAIOLOS,ARRAIOLOS,-,CCDR-ALENTEJO,-,ESCALA,31-10-1955,07-11-1963,-,-,NÃO,EXTINTA,
14N/01H,IDANHA-A-NOVA,216,39.941,-7.202,279545.772,330669.846,TEJO,RIO PÔNSUL,364.82,-,CASTELO BRANCO,IDANHA-A-NOVA,IDANHA-A-NOVA,-,CCDR-CENTRO,-,LIMNIMÉTRICA COM DESCARREGADOR,01-12-1933,30-09-1949,-,-,NÃO,EXTINTA,
21A/02H,JUNÇÃO DAS RIBEIRAS (EX. QUINTA DO PISÃO),76,38.736,-9.422,87909.961,197279.507,TEJO,RIBEIRA DAS VINHAS,21.5,-,LISBOA,CASCAIS,ALCABIDECHE,CÂMARA MUNICIPAL DE CASCAIS,CCDR-LVT,-,LIMNIMÉTRICA,01-06-1984,30-09-1990,06-04-2021,-,SIM,ATIVA,
10M/04H,LAGEOSA DO MONDEGO,437,40.627,-7.336,267468.679,406756.081,MONDEGO,RIBEIRA DA CABECA ALTA,55.08,-,GUARDA,CELORICO DA BEIRA,LAJEOSA DO MONDEGO,-,CCDR-CENTRO,-,LIMNIMÉTRICA,01-07-1980,30-09-1989,-,-,NÃO,EXTINTA,
21B/03H,LAVEIRAS,12,38.708,-9.273,100827.473,193979.463,TEJO,RIBEIRA DA BARCARENA OU DOS OSSOS,33.2,-,LISBOA,OEIRAS,PAÇO DE ARCOS,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,Limnigráfica,01-01-1987,-,14-11-2001,-,SIM,ATIVA,
15E/01H,LEIRIA,70,39.755,-8.745,147545.22,309780.858,LIS/RIBEIRAS COSTEIRAS,RIBEIRA DA CARANGUEJEIRA OU DO SIROL,85.81,28.58,LEIRIA,LEIRIA,SANTA EUFÉMIA,-,CCDR-CENTRO,-,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1933,30-09-1965,-,-,NÃO,EXTINTA,
06F/01H,LEÇA DO BAILIO,36,41.206,-8.619,159227.843,470907.073,LEÇA,RIO LEÇA,156.91,-,PORTO,MATOSINHOS,LEÇA DO BALIO,-,CCDR-NORTE,-,ESCALA,01-02-1937,30-09-1942,-,-,NÃO,EXTINTA,
27L/04H,LIMAS,67,37.826,-7.619,245227.317,95628.078,GUADIANA,RIBEIRA LIMAS,249.25,42.72,BEJA,SERPA,SERPA (SANTA MARIA),Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,LIMNIMÉTRICA,23-03-1981,-,16-05-2001,-,NÃO,SUSPENSA,
13H/03H,LOUÇAINHA,586,40.024,-8.316,184416.509,339474.458,MONDEGO,RIBEIRA DA AZENHA OU RIO CABRAS OU SIMONTE,5.74,634.91,COIMBRA,PENELA,ESPINHAL,Autoridade Nacional da Água,CCDR-CENTRO,SENSOR DE NÍVEL,LIMNIMÉTRICA,05-11-1959,-,31-01-2002,01-02-2008,NÃO,DESATIVADA,
09J/01H,LUSTOSA DA RIBAFEITA,322,40.759,-7.954,215144.678,421150.621,VOUGA/RIBEIRAS COSTEIRAS,RIO VOUGA,273.16,-,VISEU,VISEU,CALDE,-,CCDR-CENTRO,-,Escala com descarregador,22-11-1936,30-09-1962,-,-,NÃO,EXTINTA,
11L/02H,MANTEIGAS,962,40.373,-7.551,249462.987,378453.692,TEJO,RIO ZÊZERE,27.4,875.75,GUARDA,MANTEIGAS,MANTEIGAS (SÃO PEDRO),Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,11-12-2001,-,NÃO,ATIVA,
11L/01H,MANTEIGAS (R.E.),945,40.375,-7.55,249546.758,378589.692,TEJO,RIO ZÊZERE,27.51,875.75,GUARDA,MANTEIGAS,MANTEIGAS (SÃO PEDRO),-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,01-09-1948,-,-,-,NÃO,EXTINTA,
04E/04H,MARIZ (BARCELOS),15,41.522,-8.683,154080.135,506036.894,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,1473.22,4.5,BRAGA,BARCELOS,PERELHAL,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1951,31-01-1953,-,-,NÃO,EXTINTA,
H0011H,MATA DO REI,-,-,-,-,-,TEJO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
18G/02H,MATA FOME,59,39.181,-8.425,174817.333,245968.281,TEJO,RIBEIRA DO CHOUTO,93.93,-,SANTARÉM,CHAMUSCA,PARREIRA,-,CCDR-LVT,-,Escala com descarregador,01-10-1933,30-09-1946,-,-,NÃO,EXTINTA,
01F/03H,MAZEDO,36,42.049,-8.504,169300,564427,MINHO,RIO DA GADANHA,67.15,-,VIANA DO CASTELO,MONÇÃO,MAZEDO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,03-09-2003,28-11-2006,NÃO,DESATIVADA,
12O/01H,MEIMOA,517,40.258,-7.146,283950.99,365948.424,TEJO,RIBEIRA DA MEIMOA,60.55,-,CASTELO BRANCO,PENAMACOR,MEIMOA,-,CCDR-CENTRO,-,LIMNIMÉTRICA,01-10-1971,26-02-1981,-,-,NÃO,EXTINTA,
25E/01H,MELIDES,23,38.147,-8.733,147419.861,131309.905,RIBEIRAS DO ALENTEJO,RIBEIRA DA LAGOA DE MELIDES,36.7,-,SETÚBAL,GRÂNDOLA,MELIDES,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,24-05-2001,-,NÃO,ATIVA,
21B/01H,MERCÊS,145,38.789,-9.329,96079.424,203020.541,TEJO,RIBEIRA DA LAJE,6.25,-,LISBOA,SINTRA,RIO DE MOURO,-,CCDR-LVT,-,Limnigráfica,01-10-1985,30-09-1989,-,-,NÃO,EXTINTA,
01G/01H,MESSEGÃES,23,42.09,-8.356,181599.9,568992.517,MINHO,RIO MINHO,15394.12,8.27,VIANA DO CASTELO,MONÇÃO,VALADARES,-,CCDR-NORTE,-,ESCALA,01-05-1966,30-09-1975,-,-,NÃO,EXTINTA,
13K/01H,MINAS DA PANASQUEIRA,371,40.13,-7.715,235624.767,351394.5,TEJO,RIO ZÊZERE,1608.68,351.55,CASTELO BRANCO,FUNDÃO,BARROCA,-,CCDR-CENTRO,-,ESCALA,01-10-1957,30-09-1982,-,-,NÃO,EXTINTA,
05T/01H,MIRANDA DO DOURO,485,41.488,-6.265,356015.458,503712.97,DOURO,RIO DOURO,63665.41,459.44,BRAGANÇA,MIRANDA DO DOURO,MIRANDA DO DOURO,-,CCDR-NORTE,-,LIMNIMÉTRICA,02-09-1934,31-05-1941,-,-,NÃO,EXTINTA,
21O/02H,MOINHO DA CASCALHEIRA,154,38.802,-7.145,285867.738,204269.37,GUADIANA,RIO GUADIANA,50034.09,151.12,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,27-02-1979,30-09-1992,-,-,NÃO,EXTINTA,
04J/06H,MOINHO DA CASINHA (R.E.),215,41.527,-7.854,223275.536,506430.447,DOURO,RIO TÂMEGA,1968.62,171.44,VILA REAL,RIBEIRA DE PENA,SANTO ALEIXO DE ALÉM-TÂMEGA,-,EDP,-,ESCALA,01-12-1979,30-09-1993,-,-,NÃO,EXTINTA,
25G/03H,MOINHO DA GAMITINHA,31,38.063,-8.404,176260.78,121790.779,SADO,RIO SADO,2713.16,21.33,BEJA,FERREIRA DO ALENTEJO,FIGUEIRA DOS CAVALEIROS,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1933,-,25-05-2001,-,SIM,ATIVA,
07L/04H,MOINHO DA PONTE NOVA,472,41.0234678,-7.5116928,252266.844,450670.896,DOURO,RIO TÁVORA,384.14,438.98,VISEU,TABUAÇO,SENDIM,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-02-2002,30-12-2009,NÃO,DESATIVADA,
07L/01H,MOINHO DA PONTE NOVA (R.E.),452,41.04,-7.505,252821.909,452512.487,DOURO,RIO TÁVORA,439.92,438.98,VISEU,TABUAÇO,SENDIM,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1947,-,-,-,NÃO,ATIVA,
20O/01H,MOINHO DE ZANGARILHOS,232,38.999,-7.15,285144.334,226123.793,GUADIANA,RIO CAIA,567.52,-,PORTALEGRE,ELVAS,SÃO VICENTE E VENTOSA,-,CCDR-ALENTEJO,-,ESCALA,01-10-1955,30-09-1964,-,-,NÃO,EXTINTA,
25G/02H,MOINHO DO BRAVO,46,38.061,-8.411,175616.523,121607.37,SADO,RIBEIRA DE CORONA,219.82,26.55,SETÚBAL,GRÂNDOLA,AZINHEIRA DOS BARROS E SÃO MAMEDE DO SÁDÃO,Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,LIMNIMÉTRICA COM DESCARREGADOR,13-12-1933,-,22-08-2001,-,NÃO,ATIVA,
16H/02H,MOINHO DO CARTUCHO,35,39.539,-8.327,183305.692,285708.281,TEJO,RIO ZÊZERE,3966.5,23,SANTARÉM,TOMAR,SÃO PEDRO DE TOMAR,-,CCDR-LVT,-,ESCALA,01-10-1939,30-09-1974,-,-,NÃO,EXTINTA,
27H/01H,MOINHO GRANDE,96,37.76,-8.317,183792.523,88188.28,SADO,RIO SADO,395.96,-,BEJA,OURIQUE,PANÓIAS,-,CCDR-ALENTEJO,-,ESCALA,01-10-1961,30-09-1967,-,-,NÃO,EXTINTA,
21J/01H,MOINHO MAMA,251,38.702,-7.926,218029.964,192727.604,TEJO,RIO DIVÔR,42.5,-,ÉVORA,ARRAIOLOS,IGREJINHA,-,CCDR-ALENTEJO,-,ESCALA,01-10-1955,31-10-1963,-,-,NÃO,EXTINTA,
18I/01H,MOINHO NOVO,99,39.228,-8.029,208988.889,251150.737,TEJO,RIO SÔR,647.05,86.05,PORTALEGRE,PONTE DE SOR,TRAMAGA,Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,Limnigráfica,30-11-1979,-,08-03-2001,-,SIM,ATIVA,
10K/04H,MOINHOS DE PEPIM,315,40.652,-7.743,232985.304,409314.893,MONDEGO,RIBEIRA DE COJA,133.37,-,VISEU,PENALVA DO CASTELO,PINDO,Autoridade Nacional da Água,CCDR-CENTRO,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1981,-,10-10-2001,-,SIM,ATIVA,
19M/01H,MONFORTE,233,39.055,-7.446,259466.702,232190.054,TEJO,RIBEIRA GRANDE OU DE AVIZ,141.46,223.47,PORTALEGRE,MONFORTE,MONFORTE,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1955,-,26-04-2001,-,SIM,ATIVA,
24M/03H,MONTE BRANCO,104,38.171,-7.399,264356.157,134019.098,GUADIANA,RIO ARDILA,3584.17,83.16,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),-,CCDR-ALENTEJO,-,ESCALA,01-11-1945,28-02-1966,-,-,NÃO,EXTINTA,
20I/01H,MONTE CAMÕES,85,38.994,-8.008,210821.203,225168.315,TEJO,RIBEIRA DA RAIA OU DE SEDA,2299.83,-,PORTALEGRE,AVIS,MARANHÃO,-,CCDR-ALENTEJO,-,ESCALA,01-09-1911,01-04-1952,-,-,NÃO,EXTINTA,
26K/01H,MONTE DA ARREGOTA,108,37.855,-7.823,227303.819,98750.378,GUADIANA,RIBEIRA DA LAPA OU BARRANCO DO LOUREDO,96.51,-,BEJA,BEJA,CABEÇA GORDA,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,01-10-1981,30-09-1990,-,-,NÃO,EXTINTA,
H0012H,MONTE DA FIDALGA,-,-,-,-,-,TEJO,RIO DA RIBEIRA DOS AMIAIS,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
27J/01H,MONTE DA PONTE,103,37.836,-7.859,224106,96669,GUADIANA,RIO COBRES OU RIBEIRA DE TERGES,719.08,86.6,BEJA,MÉRTOLA,ALCARIA RUIVA,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1958,-,20-06-2001,-,SIM,ATIVA,
27H/02H,MONTE DA ROCHA,105,37.736,-8.296,185627.929,85468.541,SADO,RIO SADO,246.84,92.58,BEJA,OURIQUE,PANÓIAS,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1959,30-09-1970,-,-,NÃO,EXTINTA,
21O/01H,MONTE DA VINHA,156,38.8321,-7.085033,291005.57,207689.46,GUADIANA,RIO GUADIANA,49865.47,154.3,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1979,-,08-05-2001,-,SIM,ATIVA,
24M/02H,MONTE DOS BRAVOS,80,38.193,-7.494,256024.98,136391.448,GUADIANA,RIO GUADIANA,55290.41,72.07,ÉVORA,PORTEL,ALQUEVA,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,01-03-1964,30-06-1977,-,-,NÃO,EXTINTA,
29L/01H,MONTE DOS FORTES,74,37.342,-7.624,245148.79,41869.957,GUADIANA,RIBEIRA DE ODELEITE,284.29,64.57,FARO,ALCOUTIM,VAQUEIROS,Autoridade Nacional da Água,CCDR-ALGARVE,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,10-11-1960,-,17-05-2001,-,SIM,ATIVA,
30G/01H,MONTE DOS PACHECOS,55,37.3,-8.4667,170318.51,37331,ARADE,RIBEIRA DE ODELOUCA,386,51.41,FARO,MONCHIQUE,ALFERCE,-,CCDR-ALGARVE,-,LIMNIMÉTRICA COM DESCARREGADOR,25-11-1961,01-01-2001,-,-,NÃO,EXTINTA,
19N/01H,MONTE PISÃO,252,39.111,-7.274,274344.203,238513.84,GUADIANA,RIO CAIA,221.27,298.27,PORTALEGRE,ARRONCHES,ASSUNÇÃO,Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,LIMNIMÉTRICA,30-12-1980,-,25-07-2001,-,SIM,SUSPENSA,
14D/03H,MONTE REAL,8,39.849,-8.854,138344.157,320286.643,LIS/RIBEIRAS COSTEIRAS,RIO LIS,631.89,6.43,LEIRIA,LEIRIA,MONTE REAL,Autoridade Nacional da Água,CCDR-CENTRO,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1935,01-06-1954,26-06-2015,-,NÃO,ATIVA,
24L/02H,MONTE RIBEIRA,100,38.189,-7.65,242343.775,135887.929,GUADIANA,RIBEIRA DE MARMELAR,59.01,-,BEJA,VIDIGUEIRA,PEDRÓGÃO,-,CCDR-ALENTEJO,-,ESCALA,25-10-1955,15-04-1961,-,-,NÃO,EXTINTA,
12G/06H,MONTE SÃO,13,40.219,-8.47,171305.646,361232.482,MONDEGO,RIO MONDEGO,4942.18,-,COIMBRA,COIMBRA,SÃO MARTINHO DO BISPO,-,CCDR-CENTRO,-,ESCALA,01-10-1932,30-01-1978,-,-,NÃO,EXTINTA,
12E/03H,MONTEMOR-O-VELHO,8,40.164,-8.668,154404.14,355147.341,MONDEGO,RIO MONDEGO,5236.93,1.71,COIMBRA,MONTEMOR-O-VELHO,MONTEMOR-O-VELHO,-,CCDR-CENTRO,-,LIMNIMÉTRICA,01-10-1934,01-10-1985,-,-,NÃO,EXTINTA,
27G/01H,MONTENEGRO,76,37.778,-8.338,181947.064,90191.415,SADO,RIO SADO,479.98,-,BEJA,OURIQUE,PANÓIAS,-,CCDR-ALENTEJO,-,ESCALA,01-10-1941,30-09-1964,-,-,NÃO,EXTINTA,
19E/02H,MORGADO,1,39.104,-8.739,147627.421,237479.076,TEJO,RIO TEJO,69613.65,.33,SANTARÉM,CARTAXO,VALADA,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,ESCALA,01-10-1920,-,17-01-2002,14-01-2010,NÃO,DESATIVADA,
17F/06H,MOSEIRO,47,39.412,-8.658,154830.371,271708.098,TEJO,RIO ALVIELA,155.2,-,SANTARÉM,ALCANENA,LOURICEIRA,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,01-11-2002,04-06-2008,NÃO,DESATIVADA,
18E/05H,MOUCHÃO DE SANTA MARTA,3,39.17,-8.691,151811.126,244777.617,TEJO,RIO TEJO,68443.69,1.5,SANTARÉM,CARTAXO,VALADA,-,CCDR-LVT,-,ESCALA,01-10-1974,31-10-1985,-,-,NÃO,EXTINTA,
07I/03H,MOURILHE (R.E.),11,41.084,-8.133,200024.17,457233.768,DOURO,RIO DOURO,92375.96,9.3,VISEU,CINFÃES,SÃO CRISTOVÃO DE NOGUEIRA,-,EDP,-,LIMNIMÉTRICA,20-10-1961,13-12-1974,-,-,NÃO,EXTINTA,
05M/01H,MURÇA (R.E.),393,41.401,-7.463,256030.134,492590.24,DOURO,RIO TINHELA,261.4,372.87,VILA REAL,MURÇA,MURÇA,-,EDP,-,LIMNIMÉTRICA,01-10-1955,-,-,-,NÃO,ATIVA,
25P/02H,MÚRTEGA (FRONTEIRA),189,38.158,-6.971,301870.994,132988.997,GUADIANA,RIBEIRA DA MÚRTEGA,796.38,-,BEJA,BARRANCOS,BARRANCOS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,22-08-2001,07-08-2018,SIM,DESATIVADA,
26H/01H,NABOS,57,37.964,-8.284,186761.825,110830.099,SADO,RIBEIRA DO ROXO OU DE SANTA VITÓRIA,554.85,-,BEJA,ALJUSTREL,SÃO JOÃO DE NEGRILHOS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,31-08-2001,-,SIM,ATIVA,
10K/08H,NELAS,188,40.499778,-7.822167,226359.24,392375.72,MONDEGO,RIO MONDEGO,1124.27,161.81,VISEU,NELAS,SENHORIM,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,10-12-2001,-,NÃO,DESATIVADA,
10K/03H,NELAS (R.E.),177,40.503,-7.823,226269.288,392699.669,MONDEGO,RIO MONDEGO,1125.54,161.81,GUARDA,SEIA,PARANHOS,-,EDP,-,Limnigráfica,18-01-1975,-,-,-,NÃO,ATIVA,
28J/01H,NEVES CORVO,195,37.566,-7.979,213634.797,66589.899,GUADIANA,RIBEIRA DE OEIRAS,116.53,-,BEJA,ALMODÔVAR,SENHORA DA GRAÇA DE PADRÕES,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,10-05-2001,-,SIM,ATIVA,
16K/05H,NOSSA SENHORA DA GRAÇA,87,39.595,-7.718,235629.593,291949.737,TEJO,RIBEIRA DE NISA,263.23,-,PORTALEGRE,NISA,SÃO MATIAS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,27-07-2001,-,SIM,SUSPENSA,
29E/01H,ODECEIXE,5,37.43348432,-8.76191558,144344.007,52108.881,RIBEIRAS DO ALGARVE,RIBEIRA DE SEIXE,248.2,-,FARO,ALJEZUR,ODECEIXE,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,29-06-2001,-,NÃO,SUSPENSA,
30M/05H,ODELEITE (JUSANTE),39,37.327,-7.491,256905.935,40348.514,GUADIANA,RIBEIRA DE ODELEITE,346.23,-,FARO,CASTRO MARIM,ODELEITE,-,CCDR-ALGARVE,-,ESCALA,01-10-1953,01-05-1985,-,-,NÃO,EXTINTA,
30M/04H,ODELEITE (MEIO),44,37.328,-7.49,256987.628,40450.178,GUADIANA,RIBEIRA DE ODELEITE,347.24,-,FARO,CASTRO MARIM,ODELEITE,-,CCDR-ALGARVE,-,ESCALA,01-10-1953,01-05-1985,-,-,NÃO,EXTINTA,
30M/01H,ODELEITE (PONTE),45,37.327,-7.493,256758.885,40339.437,GUADIANA,RIBEIRA DE ODELEITE,346.12,5.18,FARO,CASTRO MARIM,ODELEITE,-,CCDR-ALGARVE,-,LIMNIMÉTRICA,01-10-1953,01-10-1992,-,-,NÃO,EXTINTA,
30M/02H,ODELEITE (POVOAÇÃO),47,37.331,-7.487,257301.797,40749.526,GUADIANA,RIBEIRA DE ODELEITE,347.51,-,FARO,CASTRO MARIM,ODELEITE,-,CCDR-ALGARVE,-,ESCALA,01-11-1976,01-05-1985,-,-,NÃO,EXTINTA,
